_,CO2,CH4,C3H8,NG,SPEC
$,261.00,0.00,115.00,23.00,
$,261.00,0.00,115.00,23.00,
$,261.00,0.00,115.00,23.00,
$,264.00,0.00,116.00,23.00,
$,279.00,0.00,115.00,23.00,
$,298.00,0.00,115.00,23.00,
$,323.00,0.00,115.00,23.00,
$,346.00,0.00,115.00,23.00,
$,343.00,0.00,115.00,23.00,
$,349.00,0.00,114.00,23.00,
$,355.00,0.00,115.00,23.00,
$,355.00,0.00,114.00,23.00,
$,358.00,0.00,114.00,23.00,
$,365.00,0.00,115.00,23.00,
$,368.00,0.00,115.00,23.00,
$,371.00,0.00,114.00,23.00,
$,371.00,0.00,114.00,23.00,
$,371.00,0.00,114.00,23.00,
$,365.00,0.00,114.00,23.00,
$,368.00,0.00,113.00,23.00,
$,371.00,0.00,114.00,23.00,
$,417.00,0.00,113.00,23.00,
$,438.00,0.00,113.00,23.00,
$,427.00,0.00,113.00,23.00,
$,434.00,0.00,113.00,23.00,
$,459.00,0.00,113.00,23.00,
$,459.00,0.00,114.00,23.00,
$,452.00,0.00,113.00,23.00,
$,478.00,0.00,113.00,23.00,
$,463.00,0.00,113.00,23.00,
$,463.00,0.00,113.00,23.00,
$,470.00,0.00,112.00,23.00,
$,474.00,0.00,112.00,23.00,
$,478.00,0.00,112.00,23.00,
$,485.00,0.00,112.00,23.00,
$,481.00,0.00,113.00,23.00,
$,448.00,0.00,113.00,23.00,
$,459.00,0.00,113.00,23.00,
$,470.00,0.00,112.00,23.00,
$,365.00,0.00,112.00,23.00,
$,365.00,0.00,112.00,23.00,
$,365.00,0.00,112.00,23.00,
$,361.00,0.00,112.00,23.00,
$,380.00,0.00,112.00,23.00,
$,371.00,0.00,112.00,23.00,
$,374.00,0.00,112.00,23.00,
$,377.00,0.00,112.00,23.00,
$,295.00,0.00,111.00,23.00,
$,371.00,0.00,111.00,23.00,
$,371.00,0.00,111.00,23.00,
$,371.00,0.00,111.00,23.00,
$,365.00,0.00,111.00,23.00,
$,384.00,0.00,111.00,23.00,
$,384.00,0.00,111.00,23.00,
$,387.00,0.00,111.00,23.00,
$,390.00,0.00,111.00,23.00,
$,390.00,0.00,111.00,23.00,
$,403.00,0.00,111.00,23.00,
$,410.00,0.00,111.00,23.00,
$,393.00,0.00,111.00,23.00,
$,387.00,0.00,112.00,23.00,
$,387.00,0.00,111.00,23.00,
$,387.00,0.00,111.00,23.00,
$,380.00,0.00,111.00,23.00,
$,380.00,0.00,111.00,23.00,
$,387.00,0.00,110.00,23.00,
$,384.00,0.00,100.00,23.00,
$,371.00,0.00,95.00,,23.00
$,371.00,0.00,91.00,,23.00
$,361.00,0.00,84.00,,23.00
$,365.00,0.00,80.00,,23.00
$,365.00,0.00,78.00,,23.00
